nameplate_code,brand,platform,nameplate_display
X360,Jaguar,,
X100,Jaguar,,
X250,Jaguar,D2,Jaguar XF
X540,Jaguar,D8,Jaguar E-Pace
X351,Jaguar,D2a,Jaguar XJ
X152,Jaguar,D6a,Jaguar F-Type
X260,Jaguar,D7a,Jaguar XF
X760,Jaguar,D7a,Jaguar XE
X761,Jaguar,D7a,Jaguar F-Pace
X590,Jaguar,D7e,Jaguar I-Pace
L551,Land Rover,D8,Range Rover Evoque
L359,Land Rover,D8,Land Rover Discovery Freelander
L538,Land Rover,D8,Range Rover Evoque
L550,Land Rover,D8,Land Rover Discovery Sport
L319,Land Rover,T5,Land Rover Discovery
L560,Land Rover,D7a,Range Rover Velar
L663,Land Rover,D7u,Land Rover Defender
L405,Land Rover,D7u,Range Rover
L462,Land Rover,D7u,Land Rover Discovery
L494,Land Rover,D7u,Range Rover Sport
L460,Land Rover,MLA-H,Range Rover
L316,Land Rover,Defender,Land Rover Defender
